Continent;Country;PlotID;PlotCode;PlotViewID;LatitudeDecimal;LongitudeDecimal;;Altitude;PlotArea;TreeID;FamilyAPGID;Family;GenusID;Genus;SpeciesID;Species;Census.No;Census.Mean.Date;D1;DPOMtMinus1;D2;D3;D4;POM;F1;F2;F3;F4;Height;F5;LI;CI;WD;AllometricRegionID;ClusterID;ForestMoistureID;ForestEdaphicID;ForestEdaphicHeightID;ForestElevationID;ForestElevationHeightID;BiogeographicalRegionID;Monocot;PomChange;Recruit;Tag.No;Sub.Plot.T1;Stem
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051598;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;159;;159;159;159;1300;ah;1;0;4;10;4;;;;;;;;;;;;;;;778b;I1SE6;778b
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051899;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;186;;186;186;186;1300;a;1;0;4;9;4;;;;;;;;;;;;;;;1094;I2SW9;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051343;;Euphorbiaceae;;Sapium;;Sapium glandulosum;2;2019.644;175;;175;175;175;1300;a;1;0;4;7;4;;;;;;;;;;;;;;;601;I1SW8;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051446;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;124;;124;124;124;1300;ahn;1;0;4;5.5;4;;;;;;;;;;;;;;;682a;I1NW12;682c
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051481;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;175;;175;175;175;1300;a;1;0;4;7;4;;;;;;;;;;;;;;;706;I1NE3;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2336690;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;124;;124;124;124;1300;ahn;1;0;4;8;4;;;;;;;;;;;;;;;15272h;I1NW10;15272h
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051922;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;0;;0;0;0;0;0;aps;0;0;;;;;;;;;;;;;;;;;802;I3SE6;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051847;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;173;;173;173;173;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;1062;I2SW7;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051424;;Myrtaceae;;Myrceugenia;;Myrceugenia myrcioides;2;2019.644;154;;154;154;154;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;666;I1NW11;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051448;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;205;;205;205;205;1300;ah;1;0;4;5.5;4;;;;;;;;;;;;;;;682c;I1NW12;682c
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051467;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;294;;294;294;294;1300;a;1;0;4;19;4;;;;;;;;;;;;;;;694;I1NE2;
